ToLID,Species,NCBI Species,Common name,Assembly version,Pipeline version,Curated,Required purging? (HiC asm only),Total bp,Genome size¹,Heterozygosity¹,Sequencing depth,Repeat content¹,Sex (metadata),Heterogametic,Mitogenome?,Assembler,Instance,Bionano,Draft assembly folder,,Curated assembly folder,Notes,% assigned to chr,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Scaffold NG50,Scaffold auNG,Scaffold LG50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Contig NG50,Contig auNG,Contig LG50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content %
bPodStr1,Podargus strigoides,Podargus strigoides,Tawny frogmouth,20220217,vgp_standard_2.0,20220318,-,"37,689,024,713","1,092,727,389",1.33,34,12.00,F,Y,N,Linelle Abueg,EU,Y,s3://genomeark/species/Podargus_strigoides/bPodStr1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Podargus strigoides/bPodStr1/assembly_curated/,,93.16,1085,1271719468,1172091.68,46382565,76778557.49,6,85230406,89355119.4,4,197424837,17139,1243,1269499022,1021318.6,11587652,19326547.9,28,14555328,22453023.5,21,79645112,17139,158,2220446,14053.46,494826,430421.83,2,785652,13,365990389:268442358:269216896:365849379,42.35
bPoeAtr1,Poecile atricapillus,Poecile atricapillus,Black-capped chickadee,hap1,vgp_hic_2.0,NA,N,"43,497,211,361","1,049,274,508",0.89,39,10.50,F,Y,,Alexandra Denisova,EU,Y,,,,,98.87,437,1114057309,2549330.23,66603819,81613616.39,5,76055826,86652487.18,4,181565373,1000,714,1112654034,1558338.98,8782035,10591368.77,38,9624478,11231121.22,34,34538472,1000,277,1403275,5065.97,71075,332129.5,2,670870,13,317863080:238277510:238478473:318034971,42.85
bPoeAtr1,Poecile atricapillus,Poecile atricapillus,Black-capped chickadee,hap2,vgp_hic_2.0,NA,N,"43,497,211,361","1,049,274,508",0.89,39,10.50,F,Y,,Alexandra Denisova,EU,Y,,,,,99.43,137,1139007065,8313920.18,116828732,93479998.49,4,116828732,101474283.3,4,180920413,3000,391,1125006257,2877253.85,7627662,9577492.03,44,8200554,10268750.81,39,34716945,3000,255,14000808,54905.13,13206662,12458307.71,1,13206662,13,324285395:237789665:238024266:324906931,42.29
bPtePen1,Rhea pennata,Rhea pennata,Darwin's southern rhea,20220228,vgp_standard_2.0,20220617,-,"53,785,849,004","1,255,251,577",0.45,43,11.50,M,N,N,Linelle Abueg,EU,Y,s3://genomeark/species/Rhea_pennata/bPtePen1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Rhea pennata/bPtePen1/assembly_curated/,Syn: Pterocnemia pennata pennata,95.16,206,1270363898,6166815.04,79541306,93856239.6,5,79541306,94986200.8,5,214605556,22241,307,1268916312,4133277.89,19335416,25087134.2,19,19335416,25360234,19,86083197,22241,101,1447586,14332.53,1186329,983149.24,1,1186329,13,365323660:269834052:268793774:364964826,42.45
bRhyJub1,Rhynochetos jubatus,Rhynochetos jubatus,Kagu,20220317,vgp_standard_2.0,20220616,-,"50,205,808,971","1,312,755,001",0.60,38,22.50,F,Y,N,Linelle Abueg,EU,Y,s3://genomeark/species/Rhynochetos_jubatus/bRhyJub1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Rhynochetos jubatus/bRhyJub1/assembly_curated/,,93.19,229,1331762370,5815556.2,34938080,42788672.81,11,34938080,43408209.7,11,102770834,17051,446,1331144585,2984629.11,10701434,12991858.2,35,11475096,13173853.2,34,33969142,5083,217,617785,2846.94,27882,46476.05,6,139650,13,365588763:300157404:299870325:365528093,45.08
bSphHub1,Spheniscus humboldti,Spheniscus humboldti,Humboldt penguin,20220209,vgp_standard_2.0,20220322,-,"44,264,387,636","1,246,817,591",0.43,36,12.60,F,,N,Linelle Abueg,EU,Y,s3://genomeark/species/Spheniscus_humboldti/bSphHub1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Spheniscus humboldti/bSphHub1/assembly_curated/,,98.22,202,1358720201,6726337.63,83351335,82276067.49,6,88460100,89660392.8,5,178680164,17816,387,1357302696,3507242.11,13936613,17035219.9,30,15775369,18544773.6,26,57147220,17816,188,1417505,7539.92,74091,159981.78,5,427566,13,380900419:297827284:298127646:380447347,43.91
bTaeGut2,Taeniopygia guttata,Taeniopygia guttata,Zebra finch,20211014,vgp_standard_2.0,20220218,-,"39,367,893,111","1,009,754,198",1.47,39,10.83,Y,Y,Y,Nadolina Brajuka,EU,Y,s3://genomeark/species/Taeniopygia_guttata/bTaeGut2/assembly_vgp_standard_2.0/,,s3://genomeark/species/Taeniopygia guttata/bTaeGut2/assembly_curated/,,,276,1110385184,4023134.72,68984494,97742568.39,5,71125647,107483485,4,260692248,1023,520,1105707436,2126360.45,9258483,12116662.9,34,10156899,13268064.9,29,36985325,1023,244,4677748,19171.1,466962,591463.47,3,1184813,13,318791546:234184971:234048356:318682563,42.35
fHopMal1,Hoplias malabaricus,Hoplias malabaricus,Trahira,hap1,vgp_hic_2.0,NA,N,"33,652,584,231","1,006,606,320",0.67,32,33.10,M,N,,Nivesh Jain,RU,Y,,,,,87.26,597,1126460432,1886868.4,47620261,57337953.17,8,56848262,64165040.71,7,91721194,2000,1466,1036297530,706887.81,3995408,7035009.44,56,4154888,7242516.52,53,26945060,393,870,90162902,103635.52,985374,2025548.68,20,8625549,13,305324936:212302892:212495578:306174124,40.99
fHopMal1,Hoplias malabaricus,Hoplias malabaricus,Trahira,hap2,vgp_hic_2.0,NA,N,"33,652,584,231","1,006,606,320",0.67,32,33.10,M,N,,Nivesh Jain,RU,Y,,,,,94.12,467,1133761635,2427755.11,49383004,57468185.74,8,57282699,64727612.91,7,91041448,1000,1357,1072732730,790517.86,4239583,6207629.5,65,4696290,6615423.74,58,24481119,652,891,61028905,68494.84,542194,1878707.02,21,7756348,13,316435099:219997911:220107614:316192106,41.03
fLamInc1,Lampris incognitus,Lampris guttatus,Smalleye opah,hap1,vgp_hic_2.0,NA,N,"40,148,507,453","1,326,736,238",1.06,34,50.80,M,,,Alice Giani,EU,N,,,,,,1059,1477069270,1394777.4,62035289,70255083.45,9,67430497,78215716.02,7,138390503,10535,4178,1476445470,353385.7,864198,1564689.46,410,1003085,1741249.39,329,9702685,10535,3119,623800,200,200,200,1560,200,200,406042220:331647523:332940378:405815349,45.01
fLamInc1,Lampris incognitus,Lampris guttatus,Smalleye opah,hap2,vgp_hic_2.0,NA,N,"40,148,507,453","1,326,736,238",1.06,34,50.80,M,,,Alice Giani,EU,N,,,,,96.29,607,1482344868,2442083.8,61389560,63757717.6,9,61460152,71235655.42,8,129276767,12343,3656,1481735068,405288.59,919290,1750719.63,378,1086565,1955251.24,300,14060875,12343,3049,609800,200,200,200,1525,200,200,408593489:331645187:334315145:407181247,44.94
fLycPai1,Lycodopsis pacificus,Lycodopsis pacificus,Blackbelly eelpout,hap2,vgp_hic_2.0,20221216,Y,"42,863,377,852","590,402,093",0.86,70,25.80,F,,N,Linelle Abueg,EU,N,s3://genomeark/species/Lycodopsis_pacificus/fLycPac1/assembly_vgp_hic_2.0/,,,local galaxy,99.86,180,649712992,3609516.62,27523886,26380601.9,11,28913003,29030757.16,10,33829841,1000,523,649644392,1242149.89,4715471,5852472.82,39,5238746,6439723.35,33,16238479,1000,343,68600,200,200,200,172,200,200,185031294:139469219:139771535:185372344,42.98
fNeoGra1,Neoarius graeffei,Neoarius graeffei,Blue salmon catfish,20211203,vgp_standard_2.0,20220311,-,"79,684,129,048","2,420,249,501",0.49,33,66.60,not determined,-,N,Linelle Abueg,EU,Y,s3://genomeark/species/Neoarius_graeffei/fNeoGra1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Neoarius graeffei/fNeoGra1/assembly_curated/,,99.97,78,2357472591,30224007.6,81054550,81311752.98,12,80184264,79202672.7,13,127891063,29346,374,2332611935,6236930.31,14859289,17455312.5,50,14669962,16823253.2,53,61733323,15320,302,24860656,82320.05,1691344,1641974.91,6,3183299,13,671459585:494900980:495189318:671062052,42.45
fOdoBon6,Odontesthes bonariensis,Odontesthes bonariensis,Pejerrey,hap1,vgp_hic_2.0,20220707,N,"32,660,254,639","924,220,623",0.43,34,35.70,F,,N,Linelle Abueg,RU,N,s3://genomeark/species/Odontesthes_bonariensis/fOdoBon6/assembly_vgp_hic_2.0/,,,local galaxy,99.26,334,974945057,2918997.18,30591051,30913567.43,12,31128597,32610211.25,11,70917548,13797,469,974877557,2078630.19,8493506,12081684.3,28,9610370,12743886.67,25,32764486,13797,135,67500,500,500,500,68,500,500,285975950:201437176:201850615:285613816,41.37
fSalBra1,Salminus brasiliensis,Salminus brasiliensis,Golden dorado,hap1,vgp_hic_2.0,NA,N,"40,148,507,453","1,065,266,767",0.80,,34.20,M,,Y,Linelle Abueg,RU,Y,,,,,,183,1078296405,5892330.08,38931027,44598739.4,11,38931027,45144241.69,11,101938685,16360,824,1058035238,1284023,6137245,8374539.01,44,6137245,8317688.72,44,25172557,16360,641,20261167,31608.7,209454,297753.06,25,1048700,13,309798647:218123609:218534720:311578262,41.27
fSalBra1,Salminus brasiliensis,Salminus brasiliensis,Golden dorado,hap2,vgp_hic_2.0,NA,N,"40,148,507,453","1,065,266,767",0.80,,34.20,M,,Y,Linelle Abueg,RU,Y,,,,,99.61,309,1148055790,3715390.91,39756840,42015614.3,12,40760635,45280929.35,11,93567743,12885,996,1127929302,1132459,5374067,7432731.28,53,5878738,7869949.26,47,23834934,12885,687,20126488,29296.2,202830,276195.19,27,921789,13,331804018:232809377:232248347:331067560,41.23
fScoJap1,Scomber japonicus,Scomber japonicus,chub mackerel,20211026,vgp_standard_2.0,20220203,-,"44,402,834,445","688,600,335",1.22,64,19.90,M,,Y,Linelle Abueg,EU,N,s3://genomeark/species/Scomber_japonicus/fScoJap1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Scomber japonicus/fScoJap1/assembly_curated/,,98.93,762,832988085,1093160.22,22224178,17868040.12,16,25307090,21614663.5,13,35011457,3099,1936,832401085,429959.24,4898551,6016275.61,46,6643518,7272657.43,34,20214033,3099,1174,587000,500,500,500,587,500,500,249661714:166349560:166742860:249646951,40.02
fTriRos1,Trichomycterus rosablanca,Trichomycterus rosablanca,Rosablanca cavefish,hap1,vgp_hic_2.0,20230125,N,"46,479,311,967","998,778,500",0.13,44,34.10,M,,Y,Linelle Abueg,RU,N,,,,,97.46,417,1047304649,2511521.94,40182557,40122968,10,40182557,42072362.31,10,85843722,1000,551,1047277849,1900685.75,13074164,15875234.29,24,13266506,16646114.44,22,40042000,1000,134,26800,200,200,200,67,200,200,312890092:210959701:210792601:312635455,40.27
fTriRos1,Trichomycterus rosablanca,Trichomycterus rosablanca,Rosablanca cavefish,hap2,vgp_hic_2.0,20230125,N,"46,479,311,967","998,778,500",0.13,44,34.10,M,,Y,Linelle Abueg,RU,N,,,,,,297,994462882,3348359.87,38093692,38601437.23,10,38085262,38434644.44,11,82356993,1000,489,994424482,2033587.9,8272383,11572623.48,34,8272383,11522174.44,34,39880030,1000,192,38400,200,200,200,96,200,200,297190762:199948414:200197806:297087500,40.24
mBalRic1,Balaenoptera ricei,Balaenoptera edeni,Rice's whale,hap2,vgp_hic_2.0,20221125,N,"85,075,857,368","2,700,742,385",0.06,31,30.30,F,N,N,Guido Gallo,EU,Y,s3://genomeark/species/Balaenoptera_ricei/mBalRic1/assembly_vgp_hic_2.0/,,,,95.85,975,2690995755,2759995.65,108195663,108690856.3,10,108195663,108298605,10,187672846,1000,1109,2676007852,2412991.75,36541936,45715526.66,20,35550969,45296844.67,21,107985902,1000,135,14987903,111021.5,11437524,9026915.57,1,11437524,13,782822195:555698120:553217422:784270115,41.44
mCynVol1,Cynocephalus volans,Cynocephalus volans,Philippine flying lemur,20220324,vgp_standard_2.0,20220520,-,"112,178,385,484","2,715,040,762",0.61,41,26.40,M,Y,Y,Linelle Abueg,EU,N,s3://genomeark/species/Cynocephalus_volans/mCynVol1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Cynocephalus volans/mCynVol1/assembly_curated/,,97.63,212,2818313416,13293931.2,124894351,125237451.1,8,124894351,130001138,8,304471933,32209,246,2818296416,11456489.5,69195939,84471934.3,12,85957123,87684484.5,11,229428798,32209,34,17000,500,500,500,17,500,500,841283877:567305431:566958899:842748209,40.25
mDasNov1,Dasypus novemcinctus,Dasypus novemcinctus,Nine-banded armadillo,hap1,vgp_hic_2.0,NA,N,"88,978,345,751","3,235,269,131",0.60,27,32.50,M,Y,Y,Simona Secomandi,EU,Y,,,,,98.45,756,3363726566,4449373.76,78943116,86955678.46,14,89685286,90408282.54,13,207119078,6285,1423,3290046700,2312049.68,14482586,19407209.85,62,14518500,19735800.69,61,63221862,6285,667,73679866,110464.57,5392114,8253644.57,3,18454053,13,971073962:673826797:674177222:970968719,40.97
mDasNov1,Dasypus novemcinctus,Dasypus novemcinctus,Nine-banded armadillo,hap2,vgp_hic_2.0,NA,N,"88,978,345,751","3,235,269,131",0.60,27,32.50,M,Y,Y,Simona Secomandi,EU,Y,,,,,97.43,664,3611417594,5438881.92,101371575,115092567.2,12,115106639,128473800.8,10,295577075,13962,1316,3580982762,2721111.52,14295626,20119501.82,67,15877795,22269426.83,56,82498337,13962,652,30434832,46679.19,2953483,5941331.15,2,12593853,13,1056467467:733996961:734079689:1056438645,41
mDugDug1,Dugong dugon,Dugong dugon,Dugong,hap1,vgp_hic_2.0,20230204,N,"102,089,153,426","3,158,605,109",0.17,31,34.80,F,Y,Y,Linelle Abueg,RU,N,,,,,99.58,221,3159195046,14295000.21,177379183,163625154.2,8,177379183,163655714.7,8,267865978,6772,300,3159179246,10530597.49,57632671,71281937.99,17,57632671,71294894.84,17,162184114,6772,79,15800,200,200,200,40,200,200,937269301:641993132:642099000:937817813,40.65
mDugDug1,Dugong dugon,Dugong dugon,Dugong,hap2,vgp_hic_2.0,NA,N,"102,089,153,426","3,158,605,109",0.17,31,34.80,F,Y,Y,Linelle Abueg,RU,N,,,,,,188,3154879230,16781272.5,138031769,149233579.3,9,138031769,149057543.9,9,230272189,7912,276,3154861630,11430658.08,57883746,74410436.03,17,57883746,74322247.13,17,209448431,7912,88,17600,200,200,200,44,200,200,936928211:641318929:640915249:935699241,40.64
mEscRob2,Eschrichtius robustus,Eschrichtius robustus,Gray whale,20221005,vgp_standard_2.0,20221201,-,"84,825,403,217","2,729,218,268",0.30,30,32.40,M,Y,Y,Grenville MacDonald Gooder,EU,N,s3://genomeark/species/Eschrichtius_robustus/mEscRob2/assembly_vgp_standard_2.0/,,,,89.27,926,2989405429,3228299.6,106981200,93228716.15,12,108759401,102116578,11,190205221,12535,988,2989393029,3025701.45,39209000,49047836.97,20,47844248,53723538.22,17,135014000,12535,62,12400,200,200,200,31,200,200,868897572:623888053:624621100:871986304,41.76
mEubGla1,Eubalaena glacialis,Eubalaena glacialis,North Atlantic right whale,hap1,vgp_hic_2.0,20230118,N,"87,213,455,139","2,661,810,066",0.22,32,30.40,M,,N,Nadolina Brajuka,EU,Y,,,,,94.83,1188,2660257090,2239273.64,84363911,79273647.55,12,84363911,79227397.04,12,155598047,7007,1331,2611166855,1961808.31,34529248,43286164.43,22,33139823,42462608.16,23,117170610,7007,143,49090235,343288.36,44972421,41331266.7,1,44972421,13,761547351:543548996:543766630:762303878,41.64
